"acc.x_x","acc.x_y","acc.y_x","acc.y_y","acc.z_x","acc.z_y","gyro.x_x","gyro.x_y","gyro.y_x","gyro.y_y","gyro.z_x","gyro.z_y"
340966,0.008170212619,340966,-0.05067191273,340966,0.9984747767,340966,17.02840233,340966,15.66892433,340966,0.5369010568,
341066,-0.01205114927,341066,-0.06427296996,341066,0.9994304776,341066,6.864233017,341066,15.44299984,341066,1.740770459,
341166,0.08998023719,341166,-0.0308587905,341166,0.9579705596,341166,5.960909843,341166,8.154320717,341166,-1.155937672,
341266,-0.01280536037,341266,-0.1542434692,341266,1.019851446,341266,6.412292957,341266,6.653703213,341266,-1.262174249,
341366,-0.01179082878,341366,-0.1037809327,341366,1.020813584,341366,7.905638218,341366,-2.421180487,341366,-1.589354753,
341466,-0.006993622053,341466,0.1844809651,341466,1.081717849,341466,-0.1535707265,341466,1.840659022,341466,-1.409685135,
341566,-0.2022771537,341566,-0.02469106764,341566,0.8980192542,341566,-0.6921618581,341566,9.092264175,341566,0.3667420149,
341666,-0.08439845592,341666,0.04425989464,341666,0.9358049035,341666,0.6594522595,341666,-10.01078987,341666,0.3260328174,
341766,-0.04451842606,341766,-0.2033636868,341766,0.9166328311,341766,4.038788795,341766,-6.765624523,341766,-1.290803671,
341866,-0.2150329351,341866,-0.2107910067,341866,0.9204084873,341866,3.156995058,341866,-11.2241354,341866,0.5873703361,
341966,-0.1449351162,341966,0.05766956881,341966,0.9825392365,341966,82.86971283,341966,-47.07692719,341966,2.047837019,
342066,0.113143757,342066,-0.09869928658,342066,0.9860360026,342066,-41.84231567,342066,5.108222008,342066,2.824670076,
342166,-0.01458512433,342166,0.05427058414,342166,1.035514355,342166,-75.81044006,342166,7.543644428,342166,-0.4407373369,
342266,0.003165018745,342266,-0.2012618333,342266,1.028229833,342266,-27.50690842,342266,5.54135704,342266,-1.785843015,
342366,0.02714941278,342366,-0.2732405961,342366,1.048014998,342366,12.25713158,342366,3.898723364,342366,-0.6774013638,
342466,-0.02643179707,342466,0.01133625675,342466,0.999239862,342466,1.029803872,342466,6.131615639,342466,1.438114285,
342566,-0.09970941395,342566,-0.2969757318,342566,0.9780296683,342566,-20.19952393,342566,0.322058171,342566,3.565598488,
342666,-0.07098957151,342666,0.1030116081,342666,0.9797195196,342666,-45.35430908,342666,17.50352669,342666,4.284509659,
342766,0.01805662736,342766,-0.09498721361,342766,0.8662111759,342766,36.58697128,342766,-19.0298214,342766,2.607114792,
342866,0.02395849489,342866,-0.02573885396,342866,1.072224498,342866,24.98742676,342866,-1.788527846,342866,2.918791533,
342966,-0.1555414945,342966,0.155393526,342966,0.9932693243,342966,13.98375607,342966,-2.19154501,342966,2.850905418,
343066,0.07157051563,343066,0.000718562922,343066,0.8939148784,343066,18.02244186,343066,-6.765329361,343066,1.44747889,
343166,-0.06846824288,343166,-0.1786053777,343166,1.038875222,343166,11.72581863,343166,-5.616556168,343166,0.6262652278,
343266,0.005329065956,343266,0.03275397792,343266,0.9687467813,343266,7.13667202,343266,0.6393025517,343266,2.634915829,
343366,-0.04438688979,343366,-0.07676770538,343366,0.8434417844,343366,3.389313936,343366,2.448213339,343366,2.860479355,
343466,-0.006208049133,343466,0.01222493406,343466,1.032655716,343466,-7.989582539,343466,17.5915699,343466,3.010683537,
343566,0.03907547146,343566,-0.04259406775,343566,0.9667593837,343566,-19.13893318,343566,18.96436882,343566,1.396770835,
343666,0.06805631518,343666,0.05180384219,343666,0.9922939539,343666,-9.029261589,343666,24.17412186,343666,-0.3659656346,
343766,0.08464130014,343766,-0.1666096896,343766,0.8992562294,343766,-26.11958122,343766,4.732396603,343766,-0.1535235643,
343866,-0.05693437904,343866,-0.03695588186,343866,0.94599998,343866,-15.28549385,343866,-9.251349449,343866,-0.4385617077,
343966,0.0005113515654,343966,-0.250090003,343966,0.894079566,343966,-17.65724373,343966,-17.88020515,343966,-0.9883348942,
344066,0.1112978011,344066,-0.04540139809,344066,1.148940444,344066,-52.59360504,344066,-9.09268856,344066,-1.787388921,
344166,-0.01318060607,344166,0.03843156248,344166,1.138644814,344166,36.12726974,344166,-16.54535866,344166,-2.938962698,
344266,-0.1037047133,344266,-0.08468645811,344266,0.9911046028,344266,5.207656384,344266,-9.074181557,344266,-5.997592926,
344366,-0.02983380295,344366,-0.01047975197,344366,1.032385707,344366,22.66098785,344366,-7.394300461,344366,-5.231763363,
344466,0.01528591849,344466,-0.005810208153,344466,0.9968438745,344466,50.77905655,344466,-5.959739685,344466,-5.970364094,
344566,-0.03350745887,344566,0.1619602293,344566,0.8968410492,344566,-2.218308926,344566,0.02277071029,344566,-0.6635417342,
344666,-0.08890150487,344666,-0.008968682028,344666,0.9287671447,344666,-9.437757492,344666,-5.930086136,344666,-0.3986827433,
344766,-0.1080469713,344766,0.2201640457,344766,0.9468976259,344766,-39.44555283,344766,-55.67500305,344766,-1.700559258,
344866,-0.08996710181,344866,0.02371140756,344866,0.9980669022,344866,-14.38367367,344866,31.6333828,344866,0.04905050248,
344966,0.04468734935,344966,-0.09811736643,344966,0.9526686668,344966,-8.312368393,344966,11.51070786,344966,-2.178962231,
345066,0.005576871336,345066,0.01580119133,345066,0.996550858,345066,8.266810417,345066,10.61355019,345066,-0.6746834517,
345166,-0.0311922282,345166,0.03439629078,345166,0.9532257318,345166,12.35239315,345166,16.02243996,345166,-0.7839338779,
345266,-0.2601200342,345266,0.03206287697,345266,0.8744263649,345266,5.347237587,345266,26.27959061,345266,-0.1950170398,
345366,0.0235085059,345366,0.2164062709,345366,0.9978291392,345366,4.852272511,345366,8.339208603,345366,-0.5758459568,
345466,-0.1703135967,345466,0.04299525544,345466,0.9322879314,345466,2.959885359,345466,4.08656168,345466,-2.514079571,
345566,-0.0686006099,345566,0.0499053672,345566,0.9222870469,345566,0.6035447121,345566,-13.95813274,345566,-1.963635802,
345666,0.08351057768,345666,-0.2372345477,345666,1.028245926,345666,-0.8630285859,345666,-14.31905556,345666,-0.7714936733,
345766,-0.1054512113,345766,0.0721610263,345766,1.026024222,345766,-3.04467535,345766,-19.86449242,345766,-0.8505542874,
345866,-0.09904069453,345866,-0.05532126874,345866,0.8909205794,345866,-2.46984601,345866,-19.51430321,345866,-1.128870726,
345966,-0.009609796107,345966,0.02075699717,345966,1.030186653,345966,-0.8404582143,345966,-14.46699715,345966,-0.6419638991,
346066,-0.04461266473,346066,-0.06968793273,346066,0.9605576992,346066,1.937065125,346066,0.447360307,346066,-0.188242048,
346166,-0.01943841763,346166,0.1372888088,346166,0.9736614823,346166,0.6595196128,346166,-0.004161367659,346166,1.469842076,
346266,-0.06033046916,346266,-0.05312488601,346266,1.013231039,346266,-2.939274549,346266,-0.7743489146,346266,2.034032106,
346366,-0.01955080219,346366,-0.04792270437,346366,0.9988527894,346366,-2.045072556,346366,-1.536132932,346366,1.859044313,
346466,0.2018057257,346466,-0.09397285432,346466,0.9754644632,346466,3.60421586,346466,-9.478170395,346466,0.0326939486,
346566,-0.04964814708,346566,-0.1206712276,346566,0.9865002036,346566,2.036290646,346566,-5.470928192,346566,0.4856915474,
346666,0.006690066773,346666,-0.01491382346,346666,0.997646749,346666,-1.093091726,346666,0.3688494265,346666,0.6724386215,
346766,-0.06319398433,346766,0.03024978563,346766,0.9733319879,346766,2.849760771,346766,0.3437211215,346766,-1.138338208,
346866,0.01716348156,346866,0.02280432172,346866,0.9483808875,346866,-1.986213923,346866,-1.917517424,346866,-0.6793688536,
346966,-0.03270188719,346966,-0.04347560555,346966,0.9579803348,346966,-2.039463043,346966,-3.344614983,346966,-0.8306095004,
