"acc.x_x","acc.x_y","acc.y_x","acc.y_y","acc.z_x","acc.z_y","gyro.x_x","gyro.x_y","gyro.y_x","gyro.y_y","gyro.z_x","gyro.z_y"
220755,0.2622360289,220755,1.142049909,220755,0.114260152,220755,-2.109886169,220755,156.8371124,220755,56.17790222,
220855,0.4199570715,220855,0.7433912158,220855,0.2511005998,220855,87.9924469,220855,68.91884613,220855,23.01360703,
220955,0.2454614937,220955,0.8790194988,220955,0.09339164943,220955,17.22721672,220955,98.3175354,220955,84.51477051,
221055,0.3328712881,221055,0.7668806911,221055,-0.2572649419,221055,70.61561584,221055,43.65592194,221055,67.25673676,
221155,0.3865713179,221155,0.6235021949,221155,-0.0919322893,221155,20.73536301,221155,80.00756073,221155,37.57542801,
221255,0.442671895,221255,0.4641419649,221255,-0.04363544658,221255,17.19800568,221255,51.14281082,221255,52.84319687,
221355,0.521483779,221355,0.3517951667,221355,-0.06330686808,221355,17.7370491,221355,103.8978195,221355,80.33737946,
221455,0.6517862678,221455,0.4619258046,221455,-0.01994392462,221455,-3.046322107,221455,82.68909454,221455,43.01670837,
221555,0.8658571839,221555,0.5551763177,221555,0.453184098,221555,81.54223633,221555,88.1625824,221555,88.68391418,
221655,1.024941325,221655,0.5249646306,221655,0.6208818555,221655,64.34967804,221655,32.92744064,221655,89.0539856,
221755,1.090629101,221755,0.3545084894,221755,0.6369934082,221755,55.75857162,221755,7.834434032,221755,44.79439926,
221855,1.173329592,221855,0.405058682,221855,0.7056615353,221855,12.76359177,221855,-10.57569695,221855,28.32264328,
221955,1.011317968,221955,0.3447761238,221955,0.8482100964,221955,46.71564484,221955,24.00183487,221955,43.09886932,
222055,0.8947721124,222055,-0.005689712241,222055,0.2246071696,222055,27.21616554,222055,26.64000702,222055,34.49112701,
222155,0.7214912176,222155,-0.05170629919,222155,0.009022268467,222155,-23.69005013,222155,6.964927197,222155,-5.573256493,
222255,0.8413130641,222255,-0.07681471854,222255,0.3957271874,222255,35.65045929,222255,-44.36793137,222255,19.7021122,
222355,0.9578233957,222355,0.1698997915,222355,0.5591153502,222355,-21.59036255,222355,-15.02861214,222355,-40.64997864,
222455,0.9889879823,222455,-0.04213900492,222455,0.3488287032,222455,-33.82513046,222455,29.57980919,222455,8.450035095,
222555,0.8815882802,222555,0.1638879627,222555,0.4019425213,222555,-41.07277679,222555,40.57149887,222555,4.914777279,
222655,0.8214604855,222655,0.04811715707,222655,0.6194941401,222655,-32.08514023,222655,28.09526634,222655,10.3738966,
222755,0.7759467363,222755,-0.172508955,222755,0.6660068631,222755,-11.44078732,222755,-59.55272293,222755,-10.26383495,
222855,0.3205506206,222855,0.2977101207,222855,0.1933983117,222855,14.73451233,222855,546.631958,222855,11.98864555,
222955,-0.01183363795,222955,-0.00654135691,222955,0.0499911122,222955,223.5607605,222955,297.8335266,222955,-20.85002136,
223055,-0.01267792098,223055,-0.006105411798,223055,1.04210794,223055,0.4960379601,223055,0.8933375478,223055,0.2147608101,
223155,-0.01881047897,223155,0.01430599019,223155,0.9957814217,223155,0.1064238772,223155,-0.1157498658,223155,0.1711353958,
223255,-0.01847257651,223255,0.01466031745,223255,0.9956221581,223255,0.02682203241,223255,-0.02279977128,223255,0.2032227367,
223355,-0.01777251065,223355,0.01453795563,223355,0.9919077158,223355,0.1808131635,223355,-0.136679396,223355,0.07056500018,
223455,-0.01584831253,223455,0.01395495143,223455,0.9920071959,223455,0.03763093427,223455,-0.02816159651,223455,0.2433646172,
223555,-0.01803572662,223555,0.01358210854,223555,0.9964371324,223555,0.07932638377,223555,-0.02722934633,223555,0.1731423885,
223655,-0.01358709298,223655,0.01576193981,223655,0.9964340925,223655,0.1317616254,223655,-0.06834998727,223655,0.2114267647,
223755,-0.01646165736,223755,0.01406364795,223755,0.990906775,223755,0.1107631922,223755,0.0180846639,223755,0.1289389729,
223855,-0.01731299795,223855,0.01357567776,223855,0.9948019981,223855,0.1992454827,223855,-0.1397989243,223855,0.08856227994,
223955,-0.01842015982,223955,0.0133180609,223955,0.9923321009,223955,0.09498929232,223955,-0.01844808832,223955,0.08510297537,
224055,-0.01784121804,224055,0.01302344538,224055,0.9927324653,224055,0.06083135679,224055,-0.1700089276,224055,0.1306383312,
224155,-0.01826729439,224155,0.01401527971,224155,0.991086185,224155,0.1081458628,224155,-0.07696959376,224155,0.1306791753,
224255,-0.01874228008,224255,0.01488699485,224255,0.9943269491,224255,0.2530714571,224255,0.01046916749,224255,0.1290585548,
224355,-0.02382116579,224355,0.01571153849,224355,1.003817201,224355,0.2067002207,224355,0.04112507403,224355,0.2861854136,
224455,-0.01816068962,224455,0.01420068182,224455,0.9883155823,224455,-0.05395729095,224455,-0.0526513271,224455,0.2711495757,
224555,-0.01781677268,224555,0.01403036807,224555,0.9962431192,224555,0.1092317253,224555,-0.07887548953,224555,0.2334715873,
224655,-0.01742997579,224655,0.01395296771,224655,0.9913031459,224655,0.08002614975,224655,-0.07429753244,224655,0.1645402163,
224755,-0.02004048415,224755,0.01468482148,224755,0.9940502644,224755,0.06669100374,224755,-0.06271477789,224755,0.1091785356,
224855,-0.01803117059,224855,0.01462657098,224855,0.9934174418,224855,0.1132785082,224855,-0.06501720101,224855,0.2058933228,
